date,name,rating
1973-05-01,D.R. Hadlee,16
1973-05-01,G.M. Turner,15
1973-05-01,Wasim Raja,11
1973-05-01,Asif Iqbal,9
1973-05-01,R. Illingworth,9
1973-05-01,Nasim-ul-Ghani,8
1973-06-01,K.R. Stackpole,371
1973-06-01,D.L. Amiss,354
1973-06-01,K.W.R. Fletcher,322
1973-06-01,I.M. Chappell,319
1973-06-01,G.S. Chappell,288
1973-06-01,J.H. Edrich,242
1973-06-01,M.G. Burgess,242
1973-06-01,A.P.E. Knott,226
1973-06-01,Sadiq Mohammad,219
1973-06-01,G. Boycott,211
1973-06-01,K.D. Walters,202
1973-06-01,R. Edwards,195
1973-06-01,A.W. Greig,194
1973-06-01,K.J. Wadsworth,180
1973-06-01,Mushtaq Mohammad,158
1973-06-01,Sarfraz Nawaz,151
1973-06-01,B. Wood,138
1973-06-01,P.G. Coman,136
1973-06-01,R.J. Hadlee,135
1973-06-01,Wasim Bari,135
1973-06-01,Salim Altaf,127
1973-06-01,D.K. Lillee,119
1973-06-01,A.A. Mallett,104
1973-06-01,G.G. Arnold,100
1973-06-01,I.R. Redpath,85
1973-06-01,G.E. Vivian,81
1973-06-01,R.W. Marsh,80
1973-06-01,R.A. Woolmer,80
1973-06-01,J.A. Snow,76
1973-06-01,R.O. Collinge,61
1973-06-01,Majid Khan,57
1973-06-01,Intikhab Alam,39
1973-06-01,P. Lever,36
1973-06-01,Asif Masood,36
1973-06-01,B.F. Hastings,33
1973-06-01,B.E. Congdon,29
1973-06-01,H.J. Howarth,17
1973-06-01,D.R. Hadlee,16
1973-06-01,G.M. Turner,15
1973-06-01,Wasim Raja,11
1973-06-01,Asif Iqbal,9
1973-06-01,R. Illingworth,9
1973-06-01,Nasim-ul-Ghani,8
1973-07-01,K.R. Stackpole,371
1973-07-01,D.L. Amiss,354
1973-07-01,K.W.R. Fletcher,322
1973-07-01,I.M. Chappell,319
1973-07-01,G.S. Chappell,288
1973-07-01,J.H. Edrich,242
1973-07-01,M.G. Burgess,242
1973-07-01,A.P.E. Knott,226
1973-07-01,Sadiq Mohammad,219
1973-07-01,G. Boycott,211
1973-07-01,K.D. Walters,202
1973-07-01,R. Edwards,195
1973-07-01,A.W. Greig,194
1973-07-01,K.J. Wadsworth,180
1973-07-01,Mushtaq Mohammad,158
1973-07-01,Sarfraz Nawaz,151
1973-07-01,B. Wood,138
1973-07-01,P.G. Coman,136
1973-07-01,R.J. Hadlee,135
1973-07-01,Wasim Bari,135
1973-07-01,Salim Altaf,127
1973-07-01,D.K. Lillee,119
1973-07-01,A.A. Mallett,104
1973-07-01,G.G. Arnold,100
1973-07-01,I.R. Redpath,85
1973-07-01,G.E. Vivian,81
