web-scraper-order,web-scraper-start-url,selector1
"1657196981-641","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-510","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(2)"
"1657196981-827","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","West Brom"
"1657196981-484","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Leeds"
"1657196981-599","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
"1657196981-314","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-528","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
"1657196981-263","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-351","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Liverpool"
"1657196981-697","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-390","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-513","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Aston Villa"
"1657196981-339","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
"1657196981-352","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Charlton"
"1657196981-488","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-645","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","West Ham"
"1657196981-439","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(2)"
"1657196981-701","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Everton"
"1657196981-116","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-432","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-216","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-394","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","West Ham"
"1657196981-536","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-318","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-335","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-643","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(2)"
"1657196981-494","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","0"
