Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,New Zealand
England,New Zealand,New Zealand,England,4 wickets,Adelaide,1/29/1983,ODI # 176,176,Australia,New Zealand
Australia,New Zealand,New Zealand,Australia,47 runs,Adelaide,1/31/1983,ODI # 178,178,Australia,New Zealand
England,New Zealand,New Zealand,England,7 wickets,Perth,2/5/1983,ODI # 179,179,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,27 runs,Perth,2/6/1983,ODI # 180,180,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,6 wickets,Sydney,2/9/1983,ODI # 181,181,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,149 runs,Melbourne,2/13/1983,ODI # 182,182,Australia,New Zealand
New Zealand,England,New Zealand,England,6 wickets,Auckland,2/19/1983,ODI # 183,183,New Zealand,New Zealand
New Zealand,England,New Zealand,England,103 runs,Wellington,2/23/1983,ODI # 184,184,New Zealand,New Zealand
New Zealand,England,New Zealand,England,84 runs,Christchurch,2/26/1983,ODI # 185,185,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,65 runs,Dunedin,3/2/1983,ODI # 186,186,New Zealand,New Zealand
Australia,New Zealand,New Zealand,Australia,14 runs,Sydney,3/17/1983,ODI # 188,188,Australia,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,7 wickets,Napier,3/19/1983,ODI # 189,189,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,116 runs,Auckland,3/20/1983,ODI # 190,190,New Zealand,New Zealand
England,New Zealand,England,New Zealand,106 runs,The Oval,6/9/1983,ODI # 197,197,England,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,52 runs,Birmingham,6/11/1983,ODI # 202,202,England,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Bristol,6/13/1983,ODI # 206,206,England,New Zealand
England,New Zealand,New Zealand,England,2 wickets,Birmingham,6/15/1983,ODI # 209,209,England,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,3 wickets,Derby,6/18/1983,ODI # 214,214,England,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,11 runs,Nottingham,6/20/1983,ODI # 218,218,England,New Zealand
New Zealand,England,England,New Zealand,54 runs,Christchurch,2/18/1984,ODI # 249,249,New Zealand,New Zealand
New Zealand,England,England,New Zealand,6 wickets,Wellington,2/22/1984,ODI # 250,250,New Zealand,New Zealand
New Zealand,England,New Zealand,England,7 wickets,Auckland,2/25/1984,ODI # 251,251,New Zealand,New Zealand
Sri Lanka,New Zealand,New Zealand,Sri Lanka,104 runs,Colombo (SSC),3/3/1984,ODI # 253,253,Sri Lanka,New Zealand
Sri Lanka,New Zealand,Sri Lanka,New Zealand,41 runs,Moratuwa,3/31/1984,ODI # 257,257,Sri Lanka,New Zealand
Sri Lanka,New Zealand,New Zealand,Sri Lanka,86 runs,Colombo (PSS),4/1/1984,ODI # 258,258,Sri Lanka,New Zealand
Sri Lanka,New Zealand,Sri Lanka,New Zealand,4 wickets,Colombo (PSS),11/3/1984,ODI # 274,274,Sri Lanka,New Zealand
Sri Lanka,New Zealand,New Zealand,Sri Lanka,7 wickets,Moratuwa,11/4/1984,ODI # 275,275,Sri Lanka,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,46 runs,Peshawar,11/12/1984,ODI # 276,276,Pakistan,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,5 runs,Faisalabad,11/23/1984,ODI # 277,277,Pakistan,New Zealand
Pakistan,New Zealand,New Zealand,Pakistan,34 runs,Sialkot,12/2/1984,ODI # 278,278,Pakistan,New Zealand
Pakistan,New Zealand,Pakistan,New Zealand,1 wicket,Multan,12/7/1984,ODI # 280,280,Pakistan,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,110 runs,Napier,1/12/1985,ODI # 285,285,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,4 wickets,Hamilton,1/15/1985,ODI # 288,288,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,13 runs,Christchurch,2/6/1985,ODI # 302,302,New Zealand,New Zealand
New Zealand,Pakistan,no result,New Zealand,,Auckland,2/16/1985,ODI # 306,306,New Zealand,New Zealand
New Zealand,West Indies,no result,New Zealand,,Sydney,2/19/1985,ODI # 308,308,Australia,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,51 runs,Melbourne,2/23/1985,ODI # 310,310,Australia,New Zealand
India,New Zealand,India,New Zealand,7 wickets,Sydney,3/5/1985,ODI # 316,316,Australia,New Zealand
New Zealand,West Indies,West Indies,New Zealand,6 wickets,Sydney,3/9/1985,ODI # 318,318,Australia,New Zealand
