Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,Sri Lanka
Sri Lanka,Pakistan,Sri Lanka,Pakistan,7 wickets,Dambulla,8/30/2014,ODI # 3519,3519,Sri Lanka,Sri Lanka
India,Sri Lanka,India,Sri Lanka,169 runs,Cuttack,11/2/2014,ODI # 3539,3539,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,6 wickets,Ahmedabad,11/6/2014,ODI # 3540,3540,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,6 wickets,Hyderabad (Deccan),11/9/2014,ODI # 3543,3543,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,153 runs,Eden Gardens,11/13/2014,ODI # 3544,3544,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,3 wickets,Ranchi,11/16/2014,ODI # 3547,3547,India,Sri Lanka
Sri Lanka,England,Sri Lanka,England,25 runs,Colombo (RPS),11/26/2014,ODI # 3554,3554,Sri Lanka,Sri Lanka
Sri Lanka,England,Sri Lanka,England,8 wickets,Colombo (RPS),11/29/2014,ODI # 3557,3557,Sri Lanka,Sri Lanka
Sri Lanka,England,England,Sri Lanka,5 wickets,Hambantota,12/3/2014,ODI # 3561,3561,Sri Lanka,Sri Lanka
Sri Lanka,England,Sri Lanka,England,6 wickets,Colombo (RPS),12/7/2014,ODI # 3563,3563,Sri Lanka,Sri Lanka
Sri Lanka,England,England,Sri Lanka,5 wickets,Pallekele,12/10/2014,ODI # 3565,3565,Sri Lanka,Sri Lanka
Sri Lanka,England,Sri Lanka,England,90 runs,Pallekele,12/13/2014,ODI # 3567,3567,Sri Lanka,Sri Lanka
Sri Lanka,England,Sri Lanka,England,87 runs,Colombo (RPS),12/16/2014,ODI # 3569,3569,Sri Lanka,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,3 wickets,Christchurch,1/11/2015,ODI # 3574,3574,New Zealand,Sri Lanka
New Zealand,Sri Lanka,Sri Lanka,New Zealand,6 wickets,Hamilton,1/15/2015,ODI # 3577,3577,New Zealand,Sri Lanka
New Zealand,Sri Lanka,no result,New Zealand,,Auckland,1/17/2015,ODI # 3580,3580,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,4 wickets,Nelson,1/20/2015,ODI # 3585,3585,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,108 runs,Dunedin,1/23/2015,ODI # 3588,3588,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,120 runs,Dunedin,1/25/2015,ODI # 3590,3590,New Zealand,Sri Lanka
New Zealand,Sri Lanka,Sri Lanka,New Zealand,34 runs,Wellington,1/29/2015,ODI # 3594,3594,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,98 runs,Christchurch,2/14/2015,ODI # 3599,3599,New Zealand,Sri Lanka
Afghanistan,Sri Lanka,Sri Lanka,Afghanistan,4 wickets,Dunedin,2/22/2015,ODI # 3609,3609,New Zealand,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,92 runs,Melbourne,2/26/2015,ODI # 3615,3615,Australia,Sri Lanka
England,Sri Lanka,Sri Lanka,England,9 wickets,Wellington,3/1/2015,ODI # 3619,3619,New Zealand,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,64 runs,Sydney,3/8/2015,ODI # 3629,3629,Australia,Sri Lanka
Scotland,Sri Lanka,Sri Lanka,Scotland,148 runs,Hobart,3/11/2015,ODI # 3632,3632,Australia,Sri Lanka
South Africa,Sri Lanka,South Africa,Sri Lanka,9 wickets,Sydney,3/18/2015,ODI # 3640,3640,Australia,Sri Lanka
Sri Lanka,Pakistan,Pakistan,Sri Lanka,6 wickets,Dambulla,7/11/2015,ODI # 3664,3664,Sri Lanka,Sri Lanka
