,Australia,England,New Zealand,Pakistan,West Indies,India,Sri Lanka,South Africa,Zimbabwe,Bangladesh,Ireland,Canada,Scotland,Afghanistan,Netherlands,East Africa,U.A.E.,Kenya,Namibia
2001-06-12,32,160,26,28,28,19,13,7,9,1,0,1,0,0,1,1,1,1,0
2001-06-14,32,161,26,28,28,19,13,7,9,1,0,1,0,0,1,1,1,1,0
2001-06-17,32,162,26,28,28,19,13,7,9,1,0,1,0,0,1,1,1,1,0
2001-06-21,32,163,26,28,28,19,13,7,9,1,0,1,0,0,1,1,1,1,0
2001-10-03,32,163,26,28,28,19,13,7,10,1,0,1,0,0,1,1,1,1,0
2001-10-06,32,163,26,28,28,19,13,7,11,1,0,1,0,0,1,1,1,1,0
2001-10-07,32,163,26,28,28,19,13,7,12,1,0,1,0,0,1,1,1,1,0
2001-10-10,32,163,26,28,28,19,13,7,13,1,0,1,0,0,1,1,1,1,0
2001-10-13,32,163,26,28,28,19,13,7,14,1,0,1,0,0,1,1,1,1,0
2002-01-19,32,164,26,28,28,19,13,7,14,1,0,1,0,0,1,1,1,1,0
2002-01-22,32,164,26,28,28,20,13,7,14,1,0,1,0,0,1,1,1,1,0
2002-01-25,32,165,26,28,28,20,13,7,14,1,0,1,0,0,1,1,1,1,0
2002-01-28,32,166,26,28,28,20,13,7,14,1,0,1,0,0,1,1,1,1,0
2002-01-31,32,166,26,28,28,21,13,7,14,1,0,1,0,0,1,1,1,1,0
2002-02-03,32,166,26,28,28,22,13,7,14,1,0,1,0,0,1,1,1,1,0
2002-02-13,32,167,26,28,28,22,13,7,14,1,0,1,0,0,1,1,1,1,0
2002-02-16,32,168,26,28,28,22,13,7,14,1,0,1,0,0,1,1,1,1,0
2002-02-20,32,168,27,28,28,22,13,7,14,1,0,1,0,0,1,1,1,1,0
2002-02-23,32,168,28,28,28,22,13,7,14,1,0,1,0,0,1,1,1,1,0
2002-02-26,32,169,28,28,28,22,13,7,14,1,0,1,0,0,1,1,1,1,0
2002-06-27,32,169,28,28,28,22,14,7,14,1,0,1,0,0,1,1,1,1,0
2002-06-29,32,170,28,28,28,22,14,7,14,1,0,1,0,0,1,1,1,1,0
2002-07-02,32,170,28,28,28,22,15,7,14,1,0,1,0,0,1,1,1,1,0
2002-07-04,32,171,28,28,28,22,15,7,14,1,0,1,0,0,1,1,1,1,0
2002-07-07,32,172,28,28,28,22,15,7,14,1,0,1,0,0,1,1,1,1,0
2002-07-09,32,172,28,28,28,23,15,7,14,1,0,1,0,0,1,1,1,1,0
2002-07-13,32,173,28,28,28,23,15,7,14,1,0,1,0,0,1,1,1,1,0
2002-09-18,32,173,28,28,28,23,15,7,15,1,0,1,0,0,1,1,1,1,0
