Team1,Team2,Winner,Result,Venue,Date,MatchNumber
West Indies,England,West Indies,8 wickets,Providence,2010-05-03,T20I # 158
New Zealand,Zimbabwe,New Zealand,7 runs,Providence,2010-05-04,T20I # 159
England,Ireland,no result,,Providence,2010-05-04,T20I # 160
Australia,Bangladesh,Australia,27 runs,Bridgetown,2010-05-05,T20I # 161
Afghanistan,South Africa,South Africa,59 runs,Bridgetown,2010-05-05,T20I # 162
England,Pakistan,England,6 wickets,Bridgetown,2010-05-06,T20I # 163
New Zealand,South Africa,South Africa,13 runs,Bridgetown,2010-05-06,T20I # 164
Australia,India,Australia,49 runs,Bridgetown,2010-05-07,T20I # 165
West Indies,Sri Lanka,Sri Lanka,57 runs,Bridgetown,2010-05-07,T20I # 166
New Zealand,Pakistan,New Zealand,1 run,Bridgetown,2010-05-08,T20I # 167
England,South Africa,England,39 runs,Bridgetown,2010-05-08,T20I # 168
West Indies,India,West Indies,14 runs,Bridgetown,2010-05-09,T20I # 169
Australia,Sri Lanka,Australia,81 runs,Bridgetown,2010-05-09,T20I # 170
Pakistan,South Africa,Pakistan,11 runs,Gros Islet,2010-05-10,T20I # 171
England,New Zealand,England,3 wickets,Gros Islet,2010-05-10,T20I # 172
India,Sri Lanka,Sri Lanka,5 wickets,Gros Islet,2010-05-11,T20I # 173
West Indies,Australia,Australia,6 wickets,Gros Islet,2010-05-11,T20I # 174
England,Sri Lanka,England,7 wickets,Gros Islet,2010-05-13,T20I # 175
Australia,Pakistan,Australia,3 wickets,Gros Islet,2010-05-14,T20I # 176
Australia,England,England,7 wickets,Bridgetown,2010-05-16,T20I # 177
West Indies,South Africa,South Africa,13 runs,North Sound,2010-05-19,T20I # 178
West Indies,South Africa,South Africa,1 run,North Sound,2010-05-20,T20I # 179
New Zealand,Sri Lanka,New Zealand,28 runs,Lauderhill,2010-05-22,T20I # 180
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Lauderhill,2010-05-23,T20I # 181
Zimbabwe,India,India,6 wickets,Harare,2010-06-12,T20I # 182
Zimbabwe,India,India,7 wickets,Harare,2010-06-13,T20I # 183
Australia,Pakistan,Pakistan,23 runs,Birmingham,2010-07-05,T20I # 184
Australia,Pakistan,Pakistan,11 runs,Birmingham,2010-07-06,T20I # 185
England,Pakistan,England,5 wickets,Cardiff,2010-09-05,T20I # 186
England,Pakistan,England,6 wickets,Cardiff,2010-09-07,T20I # 187
South Africa,Zimbabwe,South Africa,7 wickets,Bloemfontein,2010-10-08,T20I # 188
South Africa,Zimbabwe,South Africa,8 runs,Kimberley,2010-10-10,T20I # 189
Pakistan,South Africa,South Africa,6 wickets,Abu Dhabi,2010-10-26,T20I # 190
Pakistan,South Africa,South Africa,6 wickets,Abu Dhabi,2010-10-27,T20I # 191
Australia,Sri Lanka,Sri Lanka,7 wickets,Perth,2010-10-31,T20I # 192
New Zealand,Pakistan,New Zealand,5 wickets,Auckland,2010-12-26,T20I # 193
New Zealand,Pakistan,New Zealand,39 runs,Hamilton,2010-12-28,T20I # 194
New Zealand,Pakistan,Pakistan,103 runs,Christchurch,2010-12-30,T20I # 195
South Africa,India,India,21 runs,Durban,2011-01-09,T20I # 196
Australia,England,England,1 wicket,Adelaide,2011-01-12,T20I # 197
Australia,England,Australia,4 runs,Melbourne,2011-01-14,T20I # 198
West Indies,Pakistan,West Indies,7 runs,Gros Islet,2011-04-21,T20I # 199
West Indies,India,India,16 runs,Port of Spain,2011-06-04,T20I # 200
England,Sri Lanka,Sri Lanka,9 wickets,Bristol,2011-06-25,T20I # 201
Sri Lanka,Australia,Sri Lanka,35 runs,Pallekele,2011-08-06,T20I # 202
Sri Lanka,Australia,Sri Lanka,8 runs,Pallekele,2011-08-08,T20I # 203
England,India,England,6 wickets,Manchester,2011-08-31,T20I # 204
Zimbabwe,Pakistan,Pakistan,85 runs,Harare,2011-09-16,T20I # 205
Zimbabwe,Pakistan,Pakistan,5 runs,Harare,2011-09-18,T20I # 206
England,West Indies,England,10 wickets,The Oval,2011-09-23,T20I # 207
