web-scraper-order,web-scraper-start-url,espn2,espn2-href,espn3,espn3-href,BATSMEN,Runs,Balls,Minutes,Fours,Sixes,StrikeRate
"1603231292-6734","https://stats.espncricinfo.com/ci/content/records/307847.html","2015","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2015;type=year","Test # 2158","https://stats.espncricinfo.com/ci/engine/match/766931.html","","null","null","null","null","null","null"
"1603230918-4727","https://stats.espncricinfo.com/ci/content/records/307847.html","2017","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2017;type=year","Test # 2251","https://stats.espncricinfo.com/ci/engine/match/1062574.html","","null","null","null","null","null","null"
"1603230598-2846","https://stats.espncricinfo.com/ci/content/records/307847.html","2018","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2018;type=year","Test # 2336","https://stats.espncricinfo.com/ci/engine/match/1153839.html","BJ Watlingʠ","46","90","145","4","0","51.11"
"1603230595-2828","https://stats.espncricinfo.com/ci/content/records/307847.html","2018","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2018;type=year","Test # 2337","https://stats.espncricinfo.com/ci/engine/match/1144995.html","","null","null","null","null","null","null"
"1603231445-7576","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2119","https://stats.espncricinfo.com/ci/engine/match/648673.html","BJ Haddinʠ","0","3","7","0","0","0.00"
"1603230842-4287","https://stats.espncricinfo.com/ci/content/records/307847.html","2017","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2017;type=year","Test # 2270","https://stats.espncricinfo.com/ci/engine/match/1031659.html","AN Cook","243","407","588","33","0","59.70"
"1603231235-6430","https://stats.espncricinfo.com/ci/content/records/307847.html","2015","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2015;type=year","Test # 2172","https://stats.espncricinfo.com/ci/engine/match/817213.html","","null","null","null","null","null","null"
"1603231457-7651","https://stats.espncricinfo.com/ci/content/records/307847.html","2014","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2014;type=year","Test # 2116","https://stats.espncricinfo.com/ci/engine/match/690347.html","Rubel Hossain","2","5","5","0","0","40.00"
"1603231262-6556","https://stats.espncricinfo.com/ci/content/records/307847.html","2015","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2015;type=year","Test # 2166","https://stats.espncricinfo.com/ci/engine/match/810425.html","","null","null","null","null","null","null"
"1603231495-7831","https://stats.espncricinfo.com/ci/content/records/307847.html","2013","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2013;type=year","Test # 2108","https://stats.espncricinfo.com/ci/engine/match/648665.html","R Ashwin","11","13","24","1","0","84.61"
